iap_search_water_points_enabled	Дополнения Поиск мест и Пропуск водоёмов вкючены. Установите местоположение набрав  \"search <название места или адрес>\".
iap_everything_enabled	Дополнение Всё-всё-всё включено.Установите местоположение набрав  \"search <название места или адрес>\".
iap_all_disabled	Все дополнения выключены
iap_no_purchases	Вы пока ничего не покупали
iap_buy	Купить
iap_enable	ВКЛЮЧИТЬ
iap_maps_pack	Только Карты
iap_maps_pack_desc	Предпросмотр карт и улиц в приложении
iap_search_water_points	Поиск мест + Пропуск водоёмов
iap_search_water_points_desc	Поиск по названию мест и пропуск водоёмов
iap_everything_pack	Всё-всё-всё!
iap_everything_pack_desc	Карты + Поиск локаций + Пропуск водоёмов
iap_enabling...	Включаем возможножность...
iap_thanks_enabling	Спасибо Вам! Включаем...
sending_location	Отправляем местоположение...
connecting_bot	Подключаемся к боту...
sending_entropy	Отправляем энтропию...
terms	
